               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092815,            0.029362,                   0,             0.28063,             0.72321,             0.31649,            0.094582,            0.030898,            0.014477,                   0,            0.070769,           0.0032479,           0.0032479
                   1,            0.052769,            0.020304,                   0,             0.60717,             0.65179,              0.7164,             0.20723,            0.041451,            0.010434,                   0,            0.040639,           0.0064509,           0.0064509
                   2,            0.049711,            0.016018,                   0,             0.79216,             0.91071,             0.94006,             0.56025,             0.02947,           0.0055223,                   0,            0.010377,           0.0095219,           0.0095219
                   3,            0.042711,            0.012089,                   0,             0.77483,             0.94643,             0.94108,              0.5625,             0.02866,           0.0051079,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.03821,            0.010188,                   0,             0.96086,             0.99107,             0.99107,              0.5313,            0.018863,           0.0038128,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.03323,            0.009008,                   0,             0.98185,             0.98214,             0.98961,             0.68129,            0.018047,            0.005524,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032648,           0.0082773,                   0,             0.96119,             0.99107,              0.9873,             0.75877,            0.015718,           0.0037727,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.02963,           0.0081367,                   0,             0.99929,                   1,               0.995,             0.84897,            0.010094,           0.0025179,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.028628,           0.0075357,                   0,              0.9969,                   1,               0.995,             0.67382,            0.017265,           0.0026563,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.026804,           0.0074361,                   0,             0.97336,             0.97854,             0.99173,              0.8726,            0.010407,           0.0036962,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.025053,           0.0069861,                   0,              0.9893,             0.99107,             0.99473,              0.8183,           0.0098402,            0.003334,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.026365,           0.0070065,                   0,             0.98997,                   1,             0.99473,             0.92456,           0.0061087,           0.0021724,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.024234,           0.0067448,                   0,             0.99924,                   1,               0.995,             0.88495,           0.0084197,            0.002255,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.022883,           0.0065989,                   0,             0.99115,             0.99986,             0.99146,              0.8792,           0.0089816,           0.0020649,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.021079,           0.0062744,                   0,             0.99954,                   1,               0.995,             0.90281,            0.008601,           0.0018935,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.021786,           0.0062393,                   0,             0.99946,                   1,               0.995,             0.88595,           0.0079177,           0.0020185,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.019928,           0.0059298,                   0,             0.99942,                   1,               0.995,             0.88126,           0.0087305,           0.0020621,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.019756,           0.0058478,                   0,             0.99928,                   1,               0.995,             0.87075,           0.0090554,           0.0018262,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.019372,           0.0059478,                   0,             0.99815,                   1,               0.995,             0.93113,           0.0075184,           0.0021464,                   0,            0.006634,            0.006634,            0.006634
